faceoffsLost,shotsAgainst,teamId,teamFullName,gameDate,shootoutGamesWon,ppGoalsFor,shotsFor,otLosses,gameId,shootoutGamesLost,penaltyKillPctg,ppPctg,faceoffWinPctg,gameLocationCode,faceoffsWon,ppOpportunities,wins,ties,goalsFor,opponentTeamAbbrev,gamesPlayed,points,losses,goalsAgainst,teamAbbrev,shNumTimes,ppGoalsAgainst
25,17,22,Edmonton Oilers,2005-10-06T00:00:00Z,0,1,31,0,2005020014,0,1.0,0.1428,0.6153,H,40,7,1,0,4,COL,1,2,0,3,EDM,3,0
27,31,22,Edmonton Oilers,2005-10-09T00:00:00Z,1,2,34,0,2005020036,0,0.75,0.2857,0.6029,H,41,7,1,0,3,VAN,1,2,0,3,EDM,12,3
31,33,22,Edmonton Oilers,2005-10-10T23:30:00Z,0,3,32,0,2005020047,0,1.0,0.375,0.4918,R,30,8,1,0,4,ANA,1,2,0,2,EDM,7,0
34,35,22,Edmonton Oilers,2005-10-11T23:30:00Z,0,0,24,0,2005020053,0,0.8,0.0,0.4426,R,27,6,0,0,1,LAK,1,0,1,3,EDM,10,2
16,25,22,Edmonton Oilers,2005-10-14T23:00:00Z,0,0,36,0,2005020070,0,0.5,0.0,0.7037,H,38,5,0,0,2,DAL,1,0,1,3,EDM,2,1
24,28,22,Edmonton Oilers,2005-10-16T00:00:00Z,0,0,33,0,2005020080,0,0.8571,0.0,0.625,R,40,8,0,0,0,CGY,1,0,1,3,EDM,7,1
20,34,22,Edmonton Oilers,2005-10-18T23:00:00Z,0,1,30,1,2005020092,0,0.7142,0.1666,0.6666,H,40,6,0,0,3,PHX,1,1,0,4,EDM,7,2
22,22,22,Edmonton Oilers,2005-10-20T23:00:00Z,0,0,29,0,2005020106,0,0.8,0.0,0.5849,R,31,6,0,0,1,CGY,1,0,1,3,EDM,5,1
24,32,22,Edmonton Oilers,2005-10-21T23:00:00Z,0,1,22,0,2005020111,0,0.625,0.1666,0.625,H,40,6,0,0,1,COL,1,0,1,7,EDM,8,3
24,32,22,Edmonton Oilers,2005-10-25T23:30:00Z,0,1,28,0,2005020135,0,0.8333,0.125,0.5714,R,32,8,0,0,3,COL,1,0,1,5,EDM,6,1
24,22,22,Edmonton Oilers,2005-10-28T23:30:00Z,0,1,25,0,2005020156,0,0.8571,0.1428,0.5714,R,32,7,1,0,5,DAL,1,2,0,3,EDM,7,1
35,24,22,Edmonton Oilers,2005-10-29T23:00:00Z,0,3,31,0,2005020166,0,0.8571,0.5,0.4262,R,26,6,1,0,5,NSH,1,2,0,1,EDM,7,1
